,#,# Coins,# Pairs,Country,Established,Last 7 Days,Twitter Followers,Alexa Rank,Exchange_name,Centralised_Decentralised,24h Volume_amt,Trading_incentive,Most Actively Traded_currency,value_in_dollars
0,1,44.0,106.0,,2018.0,,13698.0,#49842,BitMax,Centralized,"$4,391,980,778", Trading Incentives,PAX/USDT,"2,480,241,470"
1,2,117.0,209.0,,2018.0,,4723.0,#75693,FCoin,Centralized,"$2,530,316,892", Trading Incentives,BTC/USDT,"1,397,999,857"
2,3,51.0,119.0,,2018.0,,1959.0,#7608,ZBG,Centralized,"$1,661,587,980", Trading Incentives,HMK/QC,0.00000000
3,4,164.0,513.0,Belize,2013.0,,183538.0,#5388,OKEx,Centralized,"$1,568,881,249", Trading Incentives,BTC/USDT,"358,280,169"
4,5,78.0,219.0,China,2017.0,,28180.0,#19361,ZB,Centralized,"$1,524,845,457", Trading Incentives,BTC/USDT,"205,941,219"
5,6,150.0,463.0,Malta,2017.0,,952594.0,#1003,Binance,Centralized,"$1,422,066,858",,BTC/USDT,"345,959,692"
6,7,37.0,111.0,Australia,2017.0,,,#11623,BW.com,Centralized,"$1,285,586,022",,BTC/USDT,"581,175,158"
7,8,109.0,217.0,Seychelles,2018.0,,7203.0,#9071,Digifinex,Centralized,"$1,247,245,432",,XRT/DFT,0.00000000
8,9,95.0,138.0,China,2017.0,,8888.0,#14694,Lbank,Centralized,"$1,161,317,808",,BTC/USDT,"399,542,666"
9,10,133.0,241.0,Seychelles,2018.0,,23999.0,#9479,Bitforex,Centralized,"$1,129,501,750",,BTC/USDT,"412,786,271"
10,11,48.0,89.0,Seychelles,2018.0,,2903.0,#16855,Coineal,Centralized,"$1,091,768,275",,LTC/BTC,"524,498,495"
11,12,27.0,70.0,Australia,2018.0,,1034.0,-,BTCEXA,Centralized,"$988,784,141",,BTC/USDT,"305,170,247"
12,13,197.0,452.0,China,2013.0,,95911.0,#15932,HuobiGlobal,Centralized,"$986,108,532",,BTC/USDT,"216,205,580"
13,14,163.0,208.0,Singapore,2017.0,,11483.0,#47015,CoinBene,Centralized,"$947,394,332", Trading Incentives,BTC/USDT,"563,159,529"
14,15,141.0,264.0,,2016.0,,13700.0,#16252,Bit-Z,Centralized,"$923,457,133", Trading Incentives,BTC/USDT,"229,367,312"
15,16,5.0,5.0,Brazil,,,4524.0,#145225,Negociecoins,Centralized,"$896,095,830",,BTC/BRL,"896,090,756"
16,17,107.0,193.0,Mongolia,2018.0,,7597.0,#58444,Idax,Centralized,"$892,829,792",,BTC/USDT,"294,778,731"
17,18,23.0,49.0,,,,3487.0,#408682,Dobitrade,Centralized,"$882,301,410",,LTC/BTC,"251,137,886"
18,19,56.0,104.0,Seychelles,2014.0,,16576.0,#113230,FatBTC,Centralized,"$874,356,198",,ETH/BTC,"239,950,800"
19,20,84.0,204.0,China,2017.0,,21054.0,#6347,Bibox,Centralized,"$841,684,383",,EOS/ETH,"186,270,507"
20,21,80.0,146.0,Singapore,2017.0,,21869.0,#38491,CoinTiger,Centralized,"$825,812,470",,BTC/USDT,"214,258,133"
