,#,# Coins,# Pairs,Country,Established,Last 7 Days,Twitter Followers,Alexa Rank,Exchange_name,Centralised_Decentralised,24h Volume_amt,Trading_incentive,Most Actively Traded_currency,value_in_dollars
5,6,150.0,463.0,Malta,2017.0,,952594.0,#1003,Binance,Centralized,"$1,422,066,858",,BTC/USDT,"345,959,692"
6,7,37.0,111.0,Australia,2017.0,,,#11623,BW.com,Centralized,"$1,285,586,022",,BTC/USDT,"581,175,158"
11,12,27.0,70.0,Australia,2018.0,,1034.0,-,BTCEXA,Centralized,"$988,784,141",,BTC/USDT,"305,170,247"
13,14,163.0,208.0,Singapore,2017.0,,11483.0,#47015,CoinBene,Centralized,"$947,394,332", Trading Incentives,BTC/USDT,"563,159,529"
20,21,80.0,146.0,Singapore,2017.0,,21869.0,#38491,CoinTiger,Centralized,"$825,812,470",,BTC/USDT,"214,258,133"
22,23,70.0,114.0,Hong Kong,2014.0,,,#146439,CoinAll,Centralized,"$817,198,453",,BTC/USDT,"395,956,663"
23,24,364.0,859.0,Hong Kong,2013.0,,239282.0,#9580,HitBTC,Centralized,"$776,044,743",,BTC/USD,"102,645,335"
25,26,42.0,56.0,Malta,2017.0,,,#302869,TopBTC,Centralized,"$678,100,274",,BTC/QQC,"225,998,862"
26,27,104.0,349.0,Estonia,2018.0,,32298.0,#83220,P2PB2B,Centralized,"$570,424,712",,LTC/BTC,"63,265,821"
30,31,35.0,40.0,Singapore,,,8509.0,#265401,OOOBTC,Centralized,"$505,100,570",,BTC/USDT,"215,820,154"
31,32,82.0,83.0,South Korea,2013.0,,201306.0,#12910,Bithumb,Centralized,"$500,212,746",,DASH/KRW,"227,652,179"
33,34,12.0,19.0,Singapore,2017.0,,7776.0,#857781,KKCoin,Centralized,"$411,423,820",,BTC/USDT,"205,035,097"
34,35,35.0,62.0,Singapore,2017.0,,699.0,#361674,BITKER,Centralized,"$403,723,499",,BTC/USDT,"135,032,174"
35,36,53.0,129.0,Singapore,2018.0,,142.0,#146975,Biki,Centralized,"$399,813,421",,BTC/USDT,"92,901,196"
36,37,20.0,32.0,Hong Kong,2017.0,,211.0,#665847,FEX,Centralized,"$371,530,399",,BTC/USDT,"232,979,610"
37,38,11.0,21.0,Singapore,,,165.0,#761966,UniDAX,Centralized,"$359,695,574",,BTC/USDT,"194,869,415"
39,40,40.0,94.0,Hong Kong,2017.0,,2001.0,#402356,IDCM,Centralized,"$348,182,849",,BTC/USDT,"63,207,846"
40,41,24.0,64.0,Hong Kong,2017.0,,115.0,#1075751,Hb.top,Centralized,"$336,583,728",,BTC/USDT,"135,240,887"
